Atributo;Tipo de Atributo;Tipo de Dados;Medida;Descrição;Referência
Player_id;;int;;ID único do jogador;
Player;;string;;Nome;
Age;;int;anos;Idade;
Country;;string;;País de origem;
Height;;float;cm;Altura;
Weight;;float;kg;Peso;
Plays;;string;;Preferência motora;
Backhand;;string;;Tipo de golpe do backhand;
Turned_Pro;;int;anos;Ano em que se profissionalizou;
Prize_Money;;string;U$;Total de dinheiro ganhos em torneiro em toda carreira;
Titles;títulos;int;;Quantidade de títulos;
Grand_Slam;títulos;int;;Quantidade de títulos de grand slam;
Masters;títulos;int;;Quantidade de títulos de masters;
Finals;títulos;int;;Quantidade de titulos de finals;
Current_Rank;ranking;int;;Atual ranking ATP;
Best_Rank;ranking;int;;Melhor ranking ATP;
Current_Elo_Rank;ranking;int;;Atual ranking ELO;
Best_Elo_Rank;ranking;int;;Melhor ranking ELO;
Pick_Elo_Rank;ranking;int;;;
Goat_Rank;ranking;int;;;
Hard;geral;float;%;Porcentagem de jogos ganhos em piso rápido;
Clay;geral;float;%;Porcentagem de jogos ganhos em piso saibro;
Grass;geral;float;%;Porcentagem de jogos ganhos em piso grama;
Carpet;geral;float;%;Porcentagem de jogos ganhos em piso carpete;
Grand_Slam.1;geral;float;%;Porcentagem de jogos ganhos em grand slam;
Tour_Finals;geral;float;%;Porcentagem de jogos ganhos em finals[;
Masters.1;geral;float;%;Porcentagem de jogos ganhos em masters;
Olympics;geral;float;%;Porcentagem de jogos ganhos em olimpíadas;
ATP_500;geral;float;%;Porcentagem de jogos ganhos em ATP500;
ATP_250;geral;float;%;Porcentagem de jogos ganhos em ATP250;
Davis_Cup;geral;float;%;Porcentagem de jogos ganhos em Copa Davis;
Deciding_Set;geral;float;%;Porcentagem de pontos decisivos ganhos;
Fifth_Set;geral;float;%;Porcentagem de quintos set ganhos;
After_Winning_1st_Set;geral;float;%;Porcentagem de jogos ganhos depois de ganhar o primeiro set;
After_Losing_1st_Set;geral;float;%;Porcentagem de jogos ganhos depois de perder o primeiro set;
Tie-Breaks;geral;float;%;Porcentagem de tie breaks ganhos;
Deciding_Set_Tie-Breaks;geral;float;%;Porcentagem de tie breaks ganhos para definir o set;
Outdoor;geral;float;%;Porcentagem de jogos ganhos em quadras outdoor;
Indoor;geral;float;%;Porcentagem de jogos ganhos em quadras indoow;
Best_of_3;geral;float;%;Porcentagem de jogos ganhos em Melhor de 3;
Best_of_5;geral;float;%;Porcentagem de jogos ganhos em melhor de 5;
Vs_No._1;geral;float;%;Porcentagem de jogos ganhos do numero 1;
Vs_Top_5;geral;float;%;Porcentagem de jogos ganhos do TOP 5;
Vs_Top_10;geral;float;%;Porcentagem de jogos ganhos do Top 10;
Vs_Top_20;geral;float;%;Porcentagem de jogos ganhos do Top 20;
Vs_Top_50;geral;float;%;Porcentagem de jogos ganhos do Top 50;
Vs_Top_100;geral;float;%;Porcentagem de jogos ganhos do Top 100;
Final;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em finais;
For_Bronze_Medal;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em medalhas de bronze;
Semi-Final;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em semi finais;
Quarter-Final;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em quartas de final;
Round_of_16;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em R16;
Round_of_32;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em R32;
Round_of_64;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em R64;
Round_of_128;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em R128;
Round-Robin;estágio do jogo no torneio;float;%;Porcentagem de jogos ganhos em quadras muito rapidas;
Very_Fast;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras muito rapidas;
Fast;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras rapidas;
Medium_Fast;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras media-rapida;
Medium;velocidade da quadra;float;%;Pocentagem de jogos ganhos em quadras medias;
Medium_Slow;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras muito-lentas;
Slow;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras lentas;
Very_Slow;velocidade da quadra;float;%;Porcentagem de jogos ganhos em quadras muito rapidas;
Best_of_3:_2:0;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 3 resultado 2:0;
Best_of_3:_2:1;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 3 resultado 2:1;
Best_of_3:_1:2;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 3 resultado 1:2;
Best_of_3:_0:2;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 3 resultado 0:2;
Best_of_5:_3:0;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 3:0;
Best_of_5:_3:1;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 3:1;
Best_of_5:_3:2;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 3:2;
Best_of_5:_2:3;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 2:3;
Best_of_5:_1:3;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 1:3;
Best_of_5:_0:3;resultado final (em sets);float;%;Porcentagem de jogos em melhor de 5 resultado 0:3;
Aces;saque;int;;Quantidade de aces total;
Ace_%;saque;float;%;Porcentagem de aces;
Aces_per_Set;saque;float;taxa;Taxa de aces por set;
Aces_per_Svc._Game;saque;float;taxa;taxa de aces por games de serviço;
Aces_per_Match;saque;float;taxa;Taxa de aces por jogo;
Double_Faults;saque;int;;Quantidade total de dupla falta;
Double_Fault_%;saque;float;%;Porcentagem de dupla faltas;
DFs_per_Svc._Game;saque;float;taxa;Taxa de dupla falta por game de serviço;
DFs_per_Set;saque;float;taxa;Taxa de dupla falta por set;
DFs_per_2nd_Serve_%;saque;float;%;Porcentagem de dupla falta por segundo serviço;
DFs_per_Match;saque;float;taxa;Taxa de dupla falta por partida;
Aces_/_DFs_Ratio;saque;float;taxa;Taxa de aces por dupla falta;
Ace_Against;saque;int;;Quantidade de aces sofridos;
Ace_Against_%;saque;float;%;Porcentagem de aces sofridos;
Double_Fault_Against_%;saque;float;%;Porcentagem de dupla faltas do adversário;
Double_Faults_Against;saque;int;;Quantidade de dupla faltas dos adversarios;
1st_Serve_%;serviço;float;%;Porcentagem de primeiro serviço;
1st_Serve_Won_%;serviço;float;%;Porcentagem de pontos ganhos no primeiro serviço;
2nd_Serve_Won_%;serviço;float;%;Porcentagem de pontos ganhos no segundo serviço;
Break_Points_Saved_%;serviço;float;%;Porcentagem de break points salvos;
BPs_per_Svc._Game;serviço;float;taxa;Taxa de break points por game de serviço;
BPs_Faced_per_Set;serviço;float;taxa;Taxa de break points por set;
BPs_Faced_per_Match;serviço;float;taxa;Taxa de break points por partida;
Service_Points_Won_%;serviço;float;%;Porcentagem de pontos ganhos nos games de serviço;
Svc._In-play_Pts._Won_%;serviço;float;%;Porcentagem de jogos ganhos em quadras muito rapidas;
Points_per_Service_Game;serviço;float;taxa;Taxa de pontos por games de serviço;
Pts._Lost_per_Svc._Game;serviço;float;taxa;Taxa de pontos perdidos por game de serviço;
Service_Games_Won_%;serviço;float;%;Porcentagem de games de serviço ganhos;
Svc._Gms._Lost_per_Set;serviço;float;taxa;Taxa de games de serviço perdidos por set;
Svc._Gms._Lost_per_Match;serviço;float;taxa;Taxa de games de serviço perdidos por partida;
1st_Srv._Return_Won_%;game de retorno;float;%;Porcentagem de ganhos no primeiro serviço do adversário;
2nd_Srv._Return_Won_%;game de retorno;float;%;Porcentagem de ganhos no sergundo serviço do adversário;
Break_Points_Won_%;game de retorno;float;%;Porcentagem de break points ganhos;
BPs_per_Return_Game;game de retorno;float;taxa;Taxa de break points por game de retorno;
BPs_per_Set;game de retorno;float;taxa;Taxa de break points por set no game de retorno;
BPs_per_Match;game de retorno;float;taxa;Taxa de break points por partida no game de retornp;
Return_Points_Won_%;game de retorno;float;%;Porcentagem de pontos ganhos em games de retorno;
Rtn._In-play_Pts._Won_%;game de retorno;float;%;Porcentagem de jogos ganhos em quadras muito rapidas;
Pts._Won_per_Rtn._Game;game de retorno;float;taxa;Taxa de pontos em games de retorno;
Points_per_Return_Game;game de retorno;float;taxa;Taxa de pontos ganhos em games de retorno;
Return_Games_Won_%;game de retorno;float;%;Porcentagem de game de retorno ganho;
Rtn._Gms._Won_per_Set;game de retorno;float;taxa;Taxa de games de retorno ganhos por set;
Rtn._Gms._Won_per_Match;game de retorno;float;taxa;Taxa de games de retorno ganhos por partida;
Total_Points_Played;geral;int;;Quantidade total de pontos jogados;
Total_Points_Won;geral;int;;Quantidade total de pontos vencidos;
Total_Points_Won_%;geral;float;%;Porcentagem de pontos vencidos;
Rtn._to_Svc._Points_Ratio;geral;float;taxa;Porcentagem de jogos ganhos em quadras muito rapidas;
Points_per_Game;geral;float;;Pontos por game;
Points_per_Set;geral;float;;Pontos por set;
Points_per_Match;geral;float;;Pontos por Partida;
Total_Games_Played;geral;int;;Total de games jogados;
Total_Games_Won;geral;int;;Total de games ganhos;
Games_Won_%;geral;float;%;porcentagem de games ganhos;
Games_per_Set;geral;float;;quantidade média de games por set;
Games_per_Match;geral;float;;quantidade média de games por partida;
Tie-Breaks_Played;geral;int;;Quantidade de tie breaks jogados;
Tie-Breaks_Won;geral;int;;Quantidade de tie breakss vencidos;
Tie-Breaks_Won_%;geral;float;%;Porcentagem de tie breaks vencidos;
Tie-Breaks_per_Set_%;geral;float;%;Porcentagem de tie breaks por set;
Tie-Breaks_per_Match;geral;float;;Quantidade média de tie breaks por partida;
Sets_Played;geral;int;;Quantidade de sets jogados;
Sets_Won;geral;int;;Quantidade de sets ganhos;
Sets_Won_%;geral;float;%;Porcentagem de sets ganhos;
Sets_per_Match;geral;float;;Quantidade média de sets por partida;
Matches_Played;geral;int;;Quantidade de partidas jogadas;
Matches_Won;geral;int;;Quantidade de partidas vencidas;
Matches_Won_%;geral;float;%;Porcentagem de partidas vencidas;
Points_Dominance;geral;float;;;
Games_Dominance;geral;float;;;
Break_Points_Ratio;geral;float;;;
Pts._to_Matches_Over-Perf.;geral;float;;;
Pts._to_Sets_Over-Perf.;geral;float;;;
Pts._to_Gms._Over-Perf.;geral;float;;;
S._Pts._to_S._Gms._Ov.-Perf.;geral;float;;;
R._Pts._to_R._Gms._Ov.-Perf.;geral;float;;;
Pts._to_TBs._Over-Perf.;geral;float;;;
Gms._to_Matches_Ov.-Perf.;geral;float;;;
Gms._to_Sets_Over-Perf.;geral;float;;;
Sets_to_Matches_Ov.-Perf.;geral;float;;;
BPs_Over-Performing;geral;float;;;
BPs_Saved_Over-Perf.;geral;float;;;
BPs_Conv._Over-Perf.;geral;float;;;
Opponent_Rank;geral;int;;Média do ranking dos oponentes;
Opponent_Elo_Rating;geral;int;;Média do ELO Ranking dos oponentes;
Upsets_scored;geral;int;;;
Upsets_scored_%;geral;float;%;;
Upsets_against;geral;int;;;
Upsets_against_%;geral;float;%;;
Upsets;geral;int;;;
Upsets_%;geral;float;%;;
Point_Time_(seconds);geral;string;segundos;Média da duração de um ponto;
Game_Time_(minutes);geral;string;minutos;Média da duração de um game;
Set_Time_(minutes);geral;string;minutos ;Média da duração de um set;
Match_Time;geral;string;horas;Média da duração de uma partida;
